Brand,Name,MRP,Discount_Price,Rating,Reviews
Samsung,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹16,999","₹9,199",4.3,"1,89,067 Ratings & 10,787 Reviews"
Samsung,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)","₹69,999","₹33,999",4.3,"1,17,660 Ratings & 11,344 Reviews"
Samsung,"SAMSUNG Galaxy S23 Ultra 5G (Cream, 256 GB)","₹1,49,999","₹99,999",4.6,"2,223 Ratings & 235 Reviews"
OnePluse,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹19,999","₹17,099",4.4,"1,40,808 Ratings & 9,740 Reviews"
OnePluse,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹19,999","₹16,960",4.4,"1,40,808 Ratings & 9,740 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹21,999","₹21,540",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹21,999","₹21,980",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹19,999","₹19,916",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,999","₹19,817",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,999","₹19,749",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹21,999","₹21,801",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Pastel lime, 256 GB)","₹21,999","₹21,890",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹19,999","₹19,905",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus 11R 5G (Galactic Silver, 128 GB)","₹39,999","₹39,990",4.5,"10,069 Ratings & 893 Reviews"
OnePluse,"OnePlus Nord CE3 5G (Aqua Surge, 256 GB)","₹28,999","₹28,236",4.4,"2,231 Ratings & 194 Reviews"
