Brand,Name,MRP,Discount_Price,Rating,Total_Rating,Total_Reviews
OnePlus,"OnePlus 11R 5G (Galactic Silver, 256 GB)",44999,44987,4.5,8889,683
OnePlus,"OnePlus 11R 5G (Sonic Black, 256 GB)",44999,44990,4.5,8889,683
OnePlus,"OnePlus Nord CE3 5G (Grey Shimmer, 128 GB)",26999,24965,4.4,3044,292
OnePlus,"OnePlus Nord CE3 5G (Aqua Surge, 128 GB)",26999,24877,4.4,3044,292
OnePlus,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",19999,19899,4.4,32088,2261
OnePlus,"OnePlus Nord CE3 5G (Grey Shimmer, 256 GB)",28999,28399,4.4,2231,194
OnePlus,"OnePlus 10R (Forest Green, 128 GB)",38999,28478,4.3,5643,355
OnePlus,"OnePlus Nord 3 5G (Misty Green, 128 GB)",33999,32240,4.4,2517,279
OnePlus,"OnePlus 11 5G (Eternal Green, 256 GB)",61999,59500,4.5,1378,121
OnePlus,"OnePlus 11 5G (Titan Black, 256 GB)",61999,59857,4.5,1378,121
Realme,"realme Narzo 50i (Carbon Black, 32 GB)",7999,6990,4.5,125460,4979
Realme,"realme C2 (Diamond Blue, 16 GB)",8999,6999,4.4,919108,71305
Realme,"realme C2 (Diamond Black, 16 GB)",7999,6999,4.4,919108,71305
Realme,"realme Narzo 50i Prime (Dark Blue, 32 GB)",7999,7299,4.2,412,16
Realme,"realme C2 (Diamond Blue, 32 GB)",7999,7475,4.4,919108,71305
Realme,"realme C11 2021 (Cool Blue, 32 GB)",7999,7499,4.4,238400,10236
Realme,"realme C11 2021 (Cool Grey, 32 GB)",7999,7499,4.4,238400,10236
Realme,"realme C20 (Cool Blue, 32 GB)",9999,7499,4.4,301933,14174
Realme,"realme C20 (Cool Grey, 32 GB)",9999,7499,4.4,301933,14174
Realme,"realme Narzo 50i Prime (Mint Green, 64 GB)",8999,7969,4.1,992,50
Realme,"realme Narzo 50i Prime (Dark Blue, 64 GB)",11999,7969,4.1,992,50
Realme,"realme narzo 50i Prime (Mint Green, 32 GB)",9999,7999,4.2,412,16
Realme,"realme C2 (Diamond Black, 32 GB)",8999,7999,4.4,919108,71305
Realme,"realme C30s (Night Black, 64 GB)",10999,8199,4.2,7593,419
Realme,"realme Narzo 30A (Laser Black, 32 GB)",10999,8199,4.3,131986,9519
Realme,"realme 3i (Diamond Blue, 32 GB)",11999,8499,4.4,304516,26338
Realme,"realme C21Y (Cross Black, 64 GB)",11999,8499,4.5,257373,9549
Realme,"realme C21Y (Cross Blue, 64 GB)",10999,8499,4.5,257373,9549
Realme,"realme C31 (Light Silver, 64 GB)",10999,8749,4.4,67166,3061
Oppo,"OPPO A1K (Red, 32 GB)",10999,8199,4.3,14236,882
Oppo,"OPPO A17K (Gold, 64 GB)",12999,8499,4.5,13165,307
Oppo,"OPPO A15 (Dynamic Black, 32 GB)",12990,8710,4.3,2395,126
Oppo,"OPPO A16E (Midnight Black, 32 GB)",13990,8743,4.3,1014,43
